"PHEC_result_ID","PHEC_result_groups_ID","result_groups_approval_status","result_groups_capacity","result_groups_description","result_groups_display_name","result_groups_id","result_groups_image_display_url","result_groups_image_url","result_groups_is_organization","result_groups_name","result_groups_revision_id","result_groups_state","result_groups_title","result_groups_type"
"15","11","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"16","12","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"17","13","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"18","14","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"19","15","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"20","16","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"21","17","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"22","18","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"23","19","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"24","20","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"25","21","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"26","22","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"27","23","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"28","24","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"29","25","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"30","26","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"31","27","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"32","28","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"33","29","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"34","30","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"35","31","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"36","32","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"37","33","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"38","34","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"39","35","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"40","36","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"41","37","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"42","38","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"43","39","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"44","40","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
"45","41","approved","public","The Public Health Outcomes Framework Healthy lives, healthy people: Improving outcomes and supporting transparency sets out a vision for public health, desired outcomes and the indicators that will help us understand how well public health is being improved and protected. The framework concentrates on two high-level outcomes to be achieved across the public health system, and groups further indicators into four 'domains' that cover the full spectrum of public health. The outcomes reflect a focus not only on how long people live, but on how well they live at all stages of life. The data published in the tool are the baselines for the Public Health Outcomes Framework, with more recent and historical trend data where these are available. The baseline period is 2010 or equivalent, unless these data are unavailable or not deemed to be of sufficient quality.","Public Health Outcomes Framework","5a1bed25-818d-4a39-97ef-5c0d79e5a53e","","","False","phe-public-health-outcomes-framework","5a2b94cc-a732-4699-aec6-87d9839bafed","active","Public Health Outcomes Framework","group"
