2,"""Estimates of resident population: number, by age group, annual 1993, MFP </SPAN>""</DIV>","""To facilitate planning of health services at local level and provide denominators for epidemiological analyses.""","""Estimates of resident population: number, by age group, annual 1993, MFP""","""001""","""P00001""",NULL,"""Jan-12""","""Mid-year estimates of resident population for the respective calendar years, based on the 2001 Census by age and sex. The estimated resident population of an area includes all people who usually live there, whatever their nationality. Members of UK and non-UK armed forces stationed in the UK are included and UK forces stationed outside the UK are excluded. Students are taken to be resident at their term time address."""
13,"""Estimates of resident population: number, by age group, annual 2004, MFP </SPAN>""</DIV>","""To facilitate planning of health services at local level and provide denominators for epidemiological analyses.""","""Estimates of resident population: number, by age group, annual 2004, MFP""",NULL,"""P00012""",NULL,"""Jun-15""","""Mid-year estimates of resident population for the respective calendar years, rebased on the 2011 Census by age and sex. The estimated resident population of an area includes all people who usually live there, whatever their nationality. Members of UK and non-UK armed forces stationed in the UK are included and UK forces stationed outside the UK are excluded. Students are taken to be resident at their term time address."""
14,"""Estimates of resident population: number, by age group, annual 2005, MFP </SPAN>""</DIV>","""To facilitate planning of health services at local level and provide denominators for epidemiological analyses.""","""Estimates of resident population: number, by age group, annual 2005, MFP""",NULL,"""P00013""",NULL,"""Jun-15""","""Mid-year estimates of resident population for the respective calendar years, rebased on the 2011 Census by age and sex. The estimated resident population of an area includes all people who usually live there, whatever their nationality. Members of UK and non-UK armed forces stationed in the UK are included and UK forces stationed outside the UK are excluded. Students are taken to be resident at their term time address."""
15,"""Estimates of resident population: number, by age group, annual 2006, MFP </SPAN>""</DIV>","""To facilitate planning of health services at local level and provide denominators for epidemiological analyses.""","""Estimates of resident population: number, by age group, annual 2006, MFP""",NULL,"""P00014""",NULL,"""Jun-15""","""Mid-year estimates of resident population for the respective calendar years, rebased on the 2011 Census by age and sex. The estimated resident population of an area includes all people who usually live there, whatever their nationality. Members of UK and non-UK armed forces stationed in the UK are included and UK forces stationed outside the UK are excluded. Students are taken to be resident at their term time address."""
16,"""Estimates of resident population: number, by age group, annual 2007, MFP </SPAN>""</DIV>","""To facilitate planning of health services at local level and provide denominators for epidemiological analyses.""","""Estimates of resident population: number, by age group, annual 2007, MFP""",NULL,"""P00015""",NULL,"""Jun-15""","""Mid-year estimates of resident population for the respective calendar years, rebased on the 2011 Census by age and sex. The estimated resident population of an area includes all people who usually live there, whatever their nationality. Members of UK and non-UK armed forces stationed in the UK are included and UK forces stationed outside the UK are excluded. Students are taken to be resident at their term time address."""
17,"""Estimates of resident population: number, by age group, annual 2008, MFP </SPAN>""</DIV>","""To facilitate planning of health services at local level and provide denominators for epidemiological analyses.""","""Estimates of resident population: number, by age group, annual 2008, MFP""",NULL,"""P00016""",NULL,"""Jun-15""","""Mid-year estimates of resident population for the respective calendar years, rebased on the 2011 Census by age and sex. The estimated resident population of an area includes all people who usually live there, whatever their nationality. Members of UK and non-UK armed forces stationed in the UK are included and UK forces stationed outside the UK are excluded. Students are taken to be resident at their term time address."""
18,"""Estimates of resident population: number, by age group, annual 2009, MFP </SPAN>""</DIV>","""To facilitate planning of health services at local level and provide denominators for epidemiological analyses.""","""Estimates of resident population: number, by age group, annual 2009, MFP""",NULL,"""P00017""",NULL,"""Jun-15""","""Mid-year estimates of resident population for the respective calendar years, rebased on the 2011 Census by age and sex. The estimated resident population of an area includes all people who usually live there, whatever their nationality. Members of UK and non-UK armed forces stationed in the UK are included and UK forces stationed outside the UK are excluded. Students are taken to be resident at their term time address."""
19,"""ONS Area Classification: area classification, P </SPAN>""</DIV>","""To provide a simple indicator of the characteristics of an area, and of the similarity between areas, for comparison or targeting purposes, and as a variable for analysis with other data.""","""ONS Area Classification: area classification, P""","""005""","""P00018""","""To be confirmed""","""Jan-11""","""The Office for National Statistics (ONS) Area Classification based on data from the 2001 Census."""
20,"""ONS Area Classification: area classification, P </SPAN>""</DIV>","""To provide a simple indicator of the characteristics of an area, and of the similarity between areas, for comparison or targeting purposes, and as a variable for analysis with other data.""","""ONS Area Classification: area classification, P""","""005""","""P00019""","""To be confirmed""","""Jan-11""","""The Office for National Statistics (ONS) Area Classification based on data from the 2001 Census."""
21,"""Composition of the census count of resident population: percent, all ages, P </SPAN>""</DIV>","""To provide 2001 Census based information about household status of resident population.""","""Composition of the census count of resident population: percent, all ages, P""","""006""","""P00020""","""To be confirmed""","""Dec-09""","""The Census count of resident population and the percentage who were present and resident in households and resident in communal establishments."""
22,"""Census count of resident population: number, by age group, MFP </SPAN>""</DIV>","""To provide 2001 Census based information about distribution of resident population by age and gender.""","""Census count of resident population: number, by age group, MFP""","""007""","""P00021""","""To be confirmed""","""Dec-09""","""The Census count of resident males and females by age."""
23,"""Communal establishments and their populations: percent, all ages, P </SPAN>""</DIV>","""To provide 2001 Census based information about the residents of communal establishments.""","""Communal establishments and their populations: percent, all ages, P""","""008""","""P00022""","""To be confirmed""","""Dec-09""","""Information on a variety of communal establishments and their residents."""
24,"""Limiting long-term illness: percent and standardised ratio, by age group, MFP </SPAN>""</DIV>","""To provide 2001 Census based information about resident population with limiting long-term illness.""","""Limiting long-term illness: percent and standardised ratio, by age group, MFP""","""009""","""P00023""","""To be confirmed""","""Dec-09""","""Proportion of residents in households with limiting long-term illness."""
25,"""Inability to work due to permanent sickness: percent and standardised ratio, by age group, MFP </SPAN>""</DIV>","""To provide 2001 Census based information about resident populations prevented from working by permanent sickness.""","""Inability to work due to permanent sickness: percent and standardised ratio, by age group, MFP""","""010""","""P00024""","""To be confirmed""","""Dec-09""","""Proportion of residents in households unable to work because of long-term sickness or disability and corresponding sickness ratios."""
26,"""Economic position of residents: percent, 16-74 years, P </SPAN>""</DIV>","""To provide 2001 Census based information about the economic position of resident populations.""","""Economic position of residents: percent, 16-74 years, P""","""011""","""P00025""",NULL,"""Dec-09""","""Employment status of resident populations."""
27,"""Ethnic group and country of birth: percent, all ages, P </SPAN>""</DIV>","""To provide 2001 Census based information about the ethnic composition of resident populations.""","""Ethnic group and country of birth: percent, all ages, P""","""012""","""P00026""",NULL,"""Dec-09""","""Residents whose ethnic group was: White - British, Irish, Other; Mixed - White and Black Caribbean, White and Black African, White and Asian, Other Mixed; Asian or Asian British - Indian, Pakistani, Bangladeshi, Other Asian; Black or Black British - Black Caribbean, Black African, Other Black; Chinese or other ethnic group - Chinese, Other Ethnic Group.Also number of residents by country of birth - Great Britain &amp; Northern Ireland, Republic of Ireland, Other European Union (EU) (as at 29/02/2001), Rest of the World."""
28,"""Residents in households: percent, all ages, P </SPAN>""</DIV>","""To provide 2001 Census based information about household characteristics of resident populations.""","""Residents in households: percent, all ages, P""","""013""","""P00027""","""To be confirmed""","""Dec-09""","""Residents in households, which were: owner-occupied, privately rented, rented from a Local Authority, overcrowded, without central heating, lacking or sharing basic amenities, without a car, with two or more cars."""
29,"""Dependent children in households: percent, 0-18 years, P </SPAN>""</DIV>","""To provide 2001 Census based information about dependent children and types of households.""","""Dependent children in households: percent, 0-18 years, P""","""014""","""P00028""",NULL,"""Dec-09""","""Dependent children in resident households; Lone parent families (with dependent children); Dependent children in resident households which were without central heating; Dependent children in resident households which were overcrowded (with more than one person per room).Note: A dependent child is a person in a household aged 0 to 15 (whether or not in a family) or a person aged 16 to 18 who is a full time student in a family with parent(s)."""
30,"""Pensioners in households: percent, by age group, P </SPAN>""</DIV>","""To provide 2001 Census based information about pensioners and types of households.""","""Pensioners in households: percent, by age group, P""","""015""","""P00029""",NULL,"""Dec-09""","""Pensioners in households who were: living alone, without central heating, without a car."""
31,"""Educational qualifications: percent, by age group, P </SPAN>""</DIV>","""To provide 2001 Census based information about the educational qualifications of the adult population.""","""Educational qualifications: percent, by age group, P""","""016""","""P00030""",NULL,"""Dec-09""","""Residents with qualifications obtained after reaching the age of 16."""
32,"""Social class as defined by occupation of household reference person : percent, 16-64 years, P </SPAN>""</DIV>","""To provide 2001 Census based information about the social class of resident populations as defined by occupation of household head.""","""Social class as defined by occupation of household reference person : percent, 16-64 years, P""","""017""","""P00031""",NULL,"""Dec-09""","""Residents in households with an economically active household head, by the social class of the head of household."""
33,"""National Statistics Socio-Economic Classification (NS-SEC) as defined by own occupation: percent, by age group, MF </SPAN>""</DIV>","""To provide 2001 Census based information about the National Statistics Socio-Economic (NS-SEC) Group of the population within each area as defined by own occupation.""","""National Statistics Socio-Economic Classification (NS-SEC) as defined by own occupation: percent, by age group, MF""","""018""","""P00032""",NULL,"""Dec-09""","""Economically active and non-active residents of households and those aged 16-64 who are economically active by National Statistics Socio-Economic classification as defined by own occupation."""
34,"""Lone parent families with dependent children : percent, &lt;18 years, P </SPAN>""</DIV>","""To provide 2001 Census based information about lone parent families with dependent children.""","""Lone parent families with dependent children : percent, &lt;18 years, P""","""019""","""P00033""",NULL,"""Aug-10""","""Lone parent families with dependent children.A dependent child is a person in a household aged 0-15 (whether or not in a family) or a person aged 16-18 who is a full-time student in a family with parent(s)."""
35,"""Emergency hospital admissions and timely surgery: fractured proximal femur: indirectly standardised percent, all ages, annual trend, F </SPAN>""</DIV>","""The purpose of the indicator is to help monitor National Health Service (NHS) success in prevention and treatment of fractured proximal femur. This is a serious condition causing pain and immobility, requiring hospitalisation. Mortality is high, with approximately one in five patients with the fracture being dead within one year. Some fractures are potentially preventable through interventions aimed either at whole populations (e.g. reducing smoking rates, promoting better nutrition and higher levels of physical activity) or at people at risk of having a fracture. The latter include timely identification of those at risk (e.g. those with osteoporosis, likelihood of having an accident) and management of risk e.g. medication, home safety, mobility aides, padded clothing etc. Observational studies of surgical outcomes associated with fractured proximal femur have suggested that where there is a significant delay from admission to surgery, there is an increased risk of morbidity, complications, and poor rehabilitation. Guidelines from the Royal College of Physicians have specified that operations for fractured proximal femur should normally occur within 24 hours of admission. However, it is acknowledged that delayed surgery may be more a reflection of patients with other medical conditions making them unfit for surgery than of inadequate management. Whatever the reason for delayed surgery, it is a proxy for poorer outcomes. The NHS may be helped to learn lessons from organisations with lower rates of hospitalisation and higher rates of timely surgery following fractured proximal femur.""","""Emergency hospital admissions and timely surgery: fractured proximal femur: indirectly standardised percent, all ages, annual trend, F""",NULL,"""P00034""","""TBC""","""Sep-13""","""Relevant surgery within the first two days following emergency admissions to hospital of persons with fractured proximal femur."""
36,"""Emergency hospital admissions and timely surgery: fractured proximal femur: indirectly standardised percent, all ages, annual trend, M </SPAN>""</DIV>","""The purpose of the indicator is to help monitor National Health Service (NHS) success in prevention and treatment of fractured proximal femur. This is a serious condition causing pain and immobility, requiring hospitalisation. Mortality is high, with approximately one in five patients with the fracture being dead within one year. Some fractures are potentially preventable through interventions aimed either at whole populations (e.g. reducing smoking rates, promoting better nutrition and higher levels of physical activity) or at people at risk of having a fracture. The latter include timely identification of those at risk (e.g. those with osteoporosis, likelihood of having an accident) and management of risk e.g. medication, home safety, mobility aides, padded clothing etc. Observational studies of surgical outcomes associated with fractured proximal femur have suggested that where there is a significant delay from admission to surgery, there is an increased risk of morbidity, complications, and poor rehabilitation. Guidelines from the Royal College of Physicians have specified that operations for fractured proximal femur should normally occur within 24 hours of admission. However, it is acknowledged that delayed surgery may be more a reflection of patients with other medical conditions making them unfit for surgery than of inadequate management. Whatever the reason for delayed surgery, it is a proxy for poorer outcomes. The NHS may be helped to learn lessons from organisations with lower rates of hospitalisation and higher rates of timely surgery following fractured proximal femur.""","""Emergency hospital admissions and timely surgery: fractured proximal femur: indirectly standardised percent, all ages, annual trend, M""",NULL,"""P00035""","""TBC""","""Sep-13""","""Relevant surgery within the first two days following emergency admissions to hospital of persons with fractured proximal femur."""
37,"""Emergency hospital admissions and timely surgery: fractured proximal femur: indirectly standardised percent, all ages, annual trend, P </SPAN>""</DIV>","""The purpose of the indicator is to help monitor National Health Service (NHS) success in prevention and treatment of fractured proximal femur. This is a serious condition causing pain and immobility, requiring hospitalisation. Mortality is high, with approximately one in five patients with the fracture being dead within one year. Some fractures are potentially preventable through interventions aimed either at whole populations (e.g. reducing smoking rates, promoting better nutrition and higher levels of physical activity) or at people at risk of having a fracture. The latter include timely identification of those at risk (e.g. those with osteoporosis, likelihood of having an accident) and management of risk e.g. medication, home safety, mobility aides, padded clothing etc. Observational studies of surgical outcomes associated with fractured proximal femur have suggested that where there is a significant delay from admission to surgery, there is an increased risk of morbidity, complications, and poor rehabilitation. Guidelines from the Royal College of Physicians have specified that operations for fractured proximal femur should normally occur within 24 hours of admission. However, it is acknowledged that delayed surgery may be more a reflection of patients with other medical conditions making them unfit for surgery than of inadequate management. Whatever the reason for delayed surgery, it is a proxy for poorer outcomes. The NHS may be helped to learn lessons from organisations with lower rates of hospitalisation and higher rates of timely surgery following fractured proximal femur.""","""Emergency hospital admissions and timely surgery: fractured proximal femur: indirectly standardised percent, all ages, annual trend, P""",NULL,"""P00036""","""TBC""","""Sep-13""","""Relevant surgery within the first two days following emergency admissions to hospital of persons with fractured proximal femur."""
38,"""Emergency hospital admissions: &nbsp;fractured proximal femur: indirectly standardised rate, all ages, annual trend, F </SPAN>""</DIV>","""PLEASE NOTE – As of May 2016 this indicator has been replaced with indicator P02175, which collects data for females, males and persons in one place. You can view this indicator by typing the P code into the search box.""","""Emergency hospital admissions: &nbsp;fractured proximal femur: indirectly standardised rate, all ages, annual trend, F""",NULL,"""P00037""","""N/A""","""N/A""","""Emergency admissions to hospital of persons with fractured proximal femur."""
39,"""Emergency hospital admissions: &nbsp;fractured proximal femur: indirectly standardised rate, all ages, annual trend, M </SPAN>""</DIV>","""PLEASE NOTE – As of May 2016 this indicator has been replaced with indicator P02175, which collects data for females, males and persons in one place. You can view this indicator by typing the P code into the search box.""","""Emergency hospital admissions: &nbsp;fractured proximal femur: indirectly standardised rate, all ages, annual trend, M""",NULL,"""P00038""","""N/A""","""N/A""","""Emergency admissions to hospital of persons with fractured proximal femur."""
40,"""Emergency hospital admissions: &nbsp;fractured proximal femur: indirectly standardised rate, all ages, annual trend, P </SPAN>""</DIV>","""PLEASE NOTE – As of May 2016 this indicator has been replaced with indicator P02175, which collects data for females, males and persons in one place. You can view this indicator by typing the P code into the search box.""","""Emergency hospital admissions: &nbsp;fractured proximal femur: indirectly standardised rate, all ages, annual trend, P""",NULL,"""P00039""","""N/A""","""N/A""","""Emergency admissions to hospital of persons with fractured proximal femur."""
41,"""Emergency hospital admissions: fractured proximal femur: indirectly standardised rate, all ages, annual trend, P </SPAN>""</DIV>","""PLEASE NOTE – As of May 2016 this indicator has been replaced with indicator P02176, which collects data for females, males and persons in one place. You can view this indicator by typing the P code into the search box.""","""Emergency hospital admissions: fractured proximal femur: indirectly standardised rate, all ages, annual trend, P""",NULL,"""P00040""","""N/A""","""N/A""","""Emergency admissions to hospital of persons with fractured proximal femur."""
42,"""Emergency hospital admissions: fractured proximal femur: indirectly standardised rate, all ages, annual trend, F </SPAN>""</DIV>","""PLEASE NOTE – As of May 2016 this indicator has been replaced with indicator P02176, which collects data for females, males and persons in one place. You can view this indicator by typing the P code into the search box.""","""Emergency hospital admissions: fractured proximal femur: indirectly standardised rate, all ages, annual trend, F""",NULL,"""P00041""","""N/A""","""N/A""","""Emergency admissions to hospital of persons with fractured proximal femur."""
43,"""Emergency hospital admissions: fractured proximal femur: indirectly standardised rate, all ages, annual trend, M </SPAN>""</DIV>","""PLEASE NOTE – As of May 2016 this indicator has been replaced with indicator P02176, which collects data for females, males and persons in one place. You can view this indicator by typing the P code into the search box.""","""Emergency hospital admissions: fractured proximal femur: indirectly standardised rate, all ages, annual trend, M""",NULL,"""P00042""","""N/A""","""N/A""","""Emergency admissions to hospital of persons with fractured proximal femur."""
44,"""Emergency hospital admissions and timely surgery: fractured proximal femur: indirectly standardised percent, all ages, annual trend, F </SPAN>""</DIV>","""The purpose of the indicator is to help monitor National Health Service (NHS) success in prevention and treatment of fractured proximal femur. This is a serious condition causing pain and immobility, requiring hospitalisation. Mortality is high, with approximately one in five patients with the fracture being dead within one year. Some fractures are potentially preventable through interventions aimed either at whole populations (e.g. reducing smoking rates, promoting better nutrition and higher levels of physical activity) or at people at risk of having a fracture. The latter include timely identification of those at risk (e.g. those with osteoporosis, likelihood of having an accident) and management of risk e.g. medication, home safety, mobility aides, padded clothing etc. Observational studies of surgical outcomes associated with fractured proximal femur have suggested that where there is a significant delay from admission to surgery, there is an increased risk of morbidity, complications, and poor rehabilitation. Guidelines from the Royal College of Physicians have specified that operations for fractured proximal femur should normally occur within 24 hours of admission. However, it is acknowledged that delayed surgery may be more a reflection of patients with other medical conditions making them unfit for surgery than of inadequate management. Whatever the reason for delayed surgery, it is a proxy for poorer outcomes. The NHS may be helped to learn lessons from organisations with lower rates of hospitalisation and higher rates of timely surgery following fractured proximal femur.""","""Emergency hospital admissions and timely surgery: fractured proximal femur: indirectly standardised percent, all ages, annual trend, F""",NULL,"""P00043""","""TBC""","""Sep-13""","""Relevant surgery within the first two days following emergency admissions to hospital of persons with fractured proximal femur."""
45,"""Emergency hospital admissions and timely surgery: fractured proximal femur: indirectly standardised percent, all ages, annual trend, M </SPAN>""</DIV>","""The purpose of the indicator is to help monitor National Health Service (NHS) success in prevention and treatment of fractured proximal femur. This is a serious condition causing pain and immobility, requiring hospitalisation. Mortality is high, with approximately one in five patients with the fracture being dead within one year. Some fractures are potentially preventable through interventions aimed either at whole populations (e.g. reducing smoking rates, promoting better nutrition and higher levels of physical activity) or at people at risk of having a fracture. The latter include timely identification of those at risk (e.g. those with osteoporosis, likelihood of having an accident) and management of risk e.g. medication, home safety, mobility aides, padded clothing etc. Observational studies of surgical outcomes associated with fractured proximal femur have suggested that where there is a significant delay from admission to surgery, there is an increased risk of morbidity, complications, and poor rehabilitation. Guidelines from the Royal College of Physicians have specified that operations for fractured proximal femur should normally occur within 24 hours of admission. However, it is acknowledged that delayed surgery may be more a reflection of patients with other medical conditions making them unfit for surgery than of inadequate management. Whatever the reason for delayed surgery, it is a proxy for poorer outcomes. The NHS may be helped to learn lessons from organisations with lower rates of hospitalisation and higher rates of timely surgery following fractured proximal femur.""","""Emergency hospital admissions and timely surgery: fractured proximal femur: indirectly standardised percent, all ages, annual trend, M""",NULL,"""P00044""","""TBC""","""Sep-13""","""Relevant surgery within the first two days following emergency admissions to hospital of persons with fractured proximal femur."""
46,"""Emergency hospital admissions and timely surgery: fractured proximal femur: indirectly standardised percent, all ages, annual trend, P </SPAN>""</DIV>","""The purpose of the indicator is to help monitor National Health Service (NHS) success in prevention and treatment of fractured proximal femur. This is a serious condition causing pain and immobility, requiring hospitalisation. Mortality is high, with approximately one in five patients with the fracture being dead within one year. Some fractures are potentially preventable through interventions aimed either at whole populations (e.g. reducing smoking rates, promoting better nutrition and higher levels of physical activity) or at people at risk of having a fracture. The latter include timely identification of those at risk (e.g. those with osteoporosis, likelihood of having an accident) and management of risk e.g. medication, home safety, mobility aides, padded clothing etc. Observational studies of surgical outcomes associated with fractured proximal femur have suggested that where there is a significant delay from admission to surgery, there is an increased risk of morbidity, complications, and poor rehabilitation. Guidelines from the Royal College of Physicians have specified that operations for fractured proximal femur should normally occur within 24 hours of admission. However, it is acknowledged that delayed surgery may be more a reflection of patients with other medical conditions making them unfit for surgery than of inadequate management. Whatever the reason for delayed surgery, it is a proxy for poorer outcomes. The NHS may be helped to learn lessons from organisations with lower rates of hospitalisation and higher rates of timely surgery following fractured proximal femur.""","""Emergency hospital admissions and timely surgery: fractured proximal femur: indirectly standardised percent, all ages, annual trend, P""",NULL,"""P00045""","""TBC""","""Sep-13""","""Relevant surgery within the first two days following emergency admissions to hospital of persons with fractured proximal femur."""
47,"""Years of life lost due to mortality from accidental falls: crude rate, 1-74 years, 3-year average, MFP </SPAN>""</DIV>","""Years of life lost (YLL) is a measure of premature mortality. Its primary purpose is to compare the relative importance of different causes of premature death within a particular population and it can therefore be used by health planners to define priorities for the prevention of such deaths. It can also be used to compare the premature mortality experience of different populations for a particular cause of death. The concept of years of life lost is to estimate the length of time a person would have lived had they not died prematurely. By inherently including the age at which the death occurs, rather than just the fact of its occurrence, the calculation is an attempt to better quantify the burden, or impact, on society from the specified cause of mortality.""","""Years of life lost due to mortality from accidental falls: crude rate, 1-74 years, 3-year average, MFP""",NULL,"""P00046""","""Dec-2016""","""Dec-2015""","""Years of life lost due to mortality from accidental falls (ICD-10 W00-W19)."""
48,"""Years of life lost due to mortality from accidental falls: directly standardised rate, 1-74 years, 3-year average, MFP </SPAN>""</DIV>","""Years of life lost (YLL) is a measure of premature mortality. Its primary purpose is to compare the relative importance of different causes of premature death within a particular population and it can therefore be used by health planners to define priorities for the prevention of such deaths. It can also be used to compare the premature mortality experience of different populations for a particular cause of death. The concept of years of life lost is to estimate the length of time a person would have lived had they not died prematurely. By inherently including the age at which the death occurs, rather than just the fact of its occurrence, the calculation is an attempt to better quantify the burden, or impact, on society from the specified cause of mortality.""","""Years of life lost due to mortality from accidental falls: directly standardised rate, 1-74 years, 3-year average, MFP""",NULL,"""P00047""","""Dec-2016""","""Dec-2015""","""Years of life lost due to mortality from accidental falls (ICD-10 W00-W19)."""
49,"""Mortality from accidents: crude death rate, by age group, 3-year average, MFP </SPAN>""</DIV>","""To reduce deaths from accidents.""","""Mortality from accidents: crude death rate, by age group, 3-year average, MFP""",NULL,"""P00048""","""Dec-2016""","""Jan-2016""","""Mortality from accidents (ICD-10 V01-X59 equivalent to ICD-9 E800-E928 excluding E870-E879)."""
50,"""Mortality from accidents: directly standardised rate, all ages, 3-year average, MFP </SPAN>""</DIV>","""To reduce deaths from accidents.""","""Mortality from accidents: directly standardised rate, all ages, 3-year average, MFP""",NULL,"""P00049""","""Dec-2016""","""Dec-2015""","""Mortality from accidents (ICD-10 V01-X59 equivalent to ICD-9 E800-E928 excluding E870-E879)."""
52,"""Mortality from accidents: directly standardised rate, &lt;5 years, 3-year average, MFP </SPAN>""</DIV>","""To reduce deaths from accidents.""","""Mortality from accidents: directly standardised rate, &lt;5 years, 3-year average, MFP""",NULL,"""P00051""","""Dec-2016""","""Dec-2015""","""Mortality from accidents (ICD-10 V01-X59 equivalent to ICD-9 E800-E928 excluding E870-E879)."""
53,"""Mortality from accidents: directly standardised rate, &lt;15 years, 3-year average, MFP </SPAN>""</DIV>","""To reduce deaths from accidents.""","""Mortality from accidents: directly standardised rate, &lt;15 years, 3-year average, MFP""",NULL,"""P00052""","""Dec-2016""","""Dec-2015""","""Mortality from accidents (ICD-10 V01-X59 equivalent to ICD-9 E800-E928 excluding E870-E879)."""
