"PHEC_result_ID","title","summary","date_range","source","publication_date","id","information_types","topics"
"11","NHS Contraceptive Services - England, 2007-2008","August 2014 Note: \n Table 11 is incorrect.&#160; Specifically, the figures for IU devices and IU systems from 2006-07 onwards have been swapped around.&#160; Please see the 2012-13 report for correct and more recent figures (see link below). We apologise for any inconvenience this may have caused. \n ---------- \n This bulletin contains information on NHS community contraception services from the KT31 return. It includes services provided by:  \n Trusts in NHS clinics and as domiciliary visits  Brook services.  It does not include services provided by consultants in out-patient clinics or those provided by General Practitioners. However, limited data is presented in this publication on out-patient clinics from The NHS Information Centre&#39;s Hospital Episode Statistics (HES) and prescription data from the Prescribing Support Unit (PSU).  \n &#39;Contraception and Sexual Health 2007-08&#39;, is published on the same day by the Office for National Statistics (ONS) on behalf of our organisation. This is a sample survey of women aged 16 to 49 and men aged 16 to 69, in Great Britain, and gives an overview of all contraception used irrespective of whether it is provided by the NHS or not. It also asks about sexual behaviour and knowledge of sexually transmitted infections. Detailed results from this survey are available from the ONS web site.  \n As a result of detailed validation carried out during the production of the 2008/09 NHS Contraceptive Services report, a number of errors were identified in the 2007/08 report. \n As a result, an errata note in respect of the 2007-08 report was published on 20 October 2009 to coincide with the release of the 2008-09 report. It detailed each error and provided the corresponding correction. These corrections were also carried through to the 2008-09 report and excel tables. \n An updated version of this errata note has now been issued, on 14 June 2011, to confirm to users that some of the errors identified in the 2007-08 report are also present in the corresponding 2007-08 Excel tables. Such instances are highlighted in specific terms in the updated errata note. The updated errata note also highlights an additional error relating to the column headings of Table 1, which are presented in calendar rather than financial years.","April 01, 2007 to March 31, 2008","http://content.digital.nhs.uk/searchcatalogue?productid=971","October 28, 2008","971","Official statistics","Public health"
"12","Statistics on Alcohol: England, 2010","Note: \n A number of errors have been identified in Table 2.1 (Page 23) of Statistics on Alcohol: England, 2010 and the corresponding table in the accompanying Excel workbook.  \n Please see the errata note for further information and corrected figures. The NHS IC apologises for any inconvenience this may have caused. \n Summary: \n This statistical report presents a range of information on alcohol use and misuse which are drawn together from a variety of published sources and includes additional analysis undertaken by the NHS Information Centre for health and social care. \n The report aims to present a broad picture of health issues relating to alcohol in England and covers topics such as drinking habits and behaviours among adults (aged 16 and over) and school children (aged 11 to 15), drinking-related mortality, affordability of alcohol and alcohol-related costs.","January 01, 2008 to December 31, 2008","http://content.digital.nhs.uk/searchcatalogue?productid=949","May 26, 2010","949","Official statistics","Illnesses and conditions"
"13","Statistics on Alcohol: England, 2011","This statistical report acts as a reference point for health issues relating to alcohol use and misuse, providing information obtained from a number of sources in a user-friendly format. It covers topics such as drinking habits and behaviours among adults (aged 16 and over) and school children (aged 11 to 15), drinking-related ill health and mortality, affordability of alcohol and alcohol-related costs. The report contains previously published information and also includes additional new analyses. The new analyses are mainly obtained from The NHS Information Centre&#39;s Hospital Episodes Statistics (HES) system and Prescribing data. The report also include up to date information on the latest alcohol related government policies and targets and contains links to further sources of useful information.","January 01, 2009 to December 31, 2010","http://content.digital.nhs.uk/searchcatalogue?productid=954","May 26, 2011","954","Official statistics","Public health"
"14","Statistics on Drug Misuse - England, 2009","Note:  Due to a formatting issue, the footnotes to tables 3.4, 3.5 and 3.7 were not completely presented. Corrections to the formatting have been made on 30 November 2009 in the report document (&quot;Statistics on Drug Misuse: England, 2009. Report&quot;) to fully display all the relevant footnotes. No other changes have been made to this publication. We apologise for any inconvenience this may have caused. \n This annual statistical report presents information on drug misuse among both adults and children. It includes a focus on young adults.  \n The topics covered include:  \n \n prevalence of drug misuse, including the types of drugs used;  \n trends in drug misuse over recent years;  \n patterns of drug misuse among different groups of the population; and  \n health outcomes related to drug misuse including hospital admissions, drug treatment and number of deaths.  \n The bulletin also summarises Government plans and targets in this area, as well as providing sources of further information and links to relevant documents.  \n \n\n The bulletin draws together data from a variety of different sources and presents it in a user-friendly format.  \n Most of the data contained in the bulletin have been published previously by The NHS Information Centre, the Home Office, Office for National Statistics or the National Treatment Agency for Substance Misuse. Previously unpublished figures on drug-related admissions to hospital are presented using data from The NHS Information Centre&#39;s Hospital Episode Statistics. ","January 01, 2008 to December 31, 2009","http://content.digital.nhs.uk/searchcatalogue?productid=1005","November 26, 2009","1005","Official statistics","Public health"
"15","NHS Contraception Services, England - 2008-2009","August&#160;2014 Note: \n Table 11 is incorrect.&#160; Specifically, the figures for IU devices and IU systems from 2006-07 onwards have been swapped around.&#160; Please see the 2012-13 report for correct and more recent figures (link below).   We apologise for any inconvenience this may have caused. \n ---------- \n October 20 09 Note:  \n A note of clarification (footnote 1) has been added to the Executive Summary of the NHS Contraceptive Services, England, 2008-09 report since its original publication. \n ---------- \n Summary: \n This annual report contains information on NHS community contraception services. This has been collected annually since 1988-89 through the KT31 return, which includes services provided by:  \n - Trusts in NHS clinics and as domiciliary visits  \n -  Brook  \n Information on NHS community contraception excludes services provided in out-patient clinics and those provided by General Practitioners. Limited data&#160;are presented for outpatient clinics sourced from The NHS Information Centre&#39;s (NHS IC) Hospital Episode Statistics (HES), prescription data from the Prescribing Support Unit (PSU) and survey data from ?Contraception and Sexual Health 2008-09&#39;, a report published by the Office for National Statistics (ONS) on behalf of the NHS Information Centre. This is a sample survey of women aged 16 to 49 and men aged 16 to 69 in Great Britain, and gives an overview of all contraception used irrespective of whether it is provided by the NHS. It also asks about sexual behaviour and knowledge of sexually transmitted infections. ","April 01, 2008 to March 31, 2009","http://content.digital.nhs.uk/searchcatalogue?productid=976","October 20, 2009","976","Official statistics","Public health"
"16","NHS Contraception Services - England, 2009-2010","August 2014 Note \n Table 11 is incorrect.&#160; Specifically, the figures for IU devices and IU systems from 2006-07 onwards have been swapped around.&#160; Please see the 2012-13 report for correct and more recent figures (see link below). We apologise for any inconvenience this may have caused. \n ---------- \n This annual report primarily presents information on NHS community contraceptive clinics (family planning clinics and clinics run by voluntary organisations such as Brook Advisory Centres). This has been collected since 1988/89 through the KT31 return, which includes services provided by:  \n Trusts in NHS clinics and as domiciliary visits  Brook Advisory Centres  Information on NHS community contraceptive clinics excludes services provided in out-patient clinics and those provided by General Practitioners. However, limited data is presented for out-patient clinics sourced from The NHS Information Centre&#39;s Hospital Episode Statistics (HES), prescription data from the Prescription Services Division (PSD) and survey data from ?Contraception and Sexual Health 2008-09&#39;, a report published by the Office for National Statistics (ONS) on behalf of the NHS Information Centre.","April 01, 2009 to March 31, 2010","http://content.digital.nhs.uk/searchcatalogue?productid=980","October 27, 2010","980","Official statistics","Public health"
"17","Statistics on Drug Misuse - England, 2010 ","This annual statistical report presents information on drug misuse among both adults and children. It includes a focus on young adults. The topics covered include:  \n \n Prevalence of drug misuse, including the types of drugs used;  \n Trends in drug misuse over recent years;  \n Patterns of drug misuse among different groups of the population; and  \n Health outcomes related to drug misuse including hospital admissions, drug treatment and number of deaths.  \n The bulletin also summarises Government plans and targets in this area, as well as providing sources of further information and links to relevant documents.  \n The bulletin draws together data from a variety of different sources and presents it in a user-friendly format. Most of the data contained in the bulletin have been published previously by the NHS Information Centre, the Home Office, Office for National Statistics or the National Treatment Agency for Substance Misuse. Previously unpublished figures on drug-related admissions to hospital are presented using data from the NHS Information Centre&#39;s Hospital Episode Statistics. ","April 01, 2009 to March 31, 2010","http://content.digital.nhs.uk/searchcatalogue?productid=1009","January 27, 2011","1009","Official statistics","Public health"
"18","Statistics on Obesity, Physical Activity and Diet - England, 2006","This is a new statistical bulletin which presents for the first time a range of information on obesity, physical activity and diet, drawn together from a variety of sources. The topics covered include: \n \n overweight and obesity prevalence among adults and children  \n physical activity levels among adults and children  \n trends in purchases and consumption of food and drink, and energy intake  \n health outcomes of being obese  \n hospital admissions and prescriptions dispensed related to obesity. \n The bulletin also summarises government plans and targets in this area, as well as providing sources of further information and links to relevant documents.","January 01, 2002 to March 31, 2006","http://content.digital.nhs.uk/searchcatalogue?productid=1053","December 20, 2006","1053","Official statistics","Public health"
"19","Statistics on NHS Stop Smoking Services - England, April 2004 to December 2004, Q3, Quarterly report","This quarterly report presents provisional results from the monitoring of the NHS Stop Smoking Services (formerly known as the smoking cessation services). \n Of those clients who set a quit date during the period April to December 2004, 170,600 had successfully quit at the 4 week follow up; this compares with 116,200 in the same period in 2003 (an increase of 47 per cent).","April 01, 2004 to December 31, 2004","http://content.digital.nhs.uk/searchcatalogue?productid=1131","May 13, 2005","1131","Official statistics","Public health"
"20","Statistics on Obesity, Physical Activity and Diet - England, 2008","This statistical report presents a range of information on obesity, physical activity and diet, drawn together from a variety of sources. This publication also summarises government plans and targets in this area, as well as providing sources of further information and links to relevant documents and key sources.  \n There are several notable additions to this, The Information Centre&#39;s second report on obesity, physical activity and diet. Waist circumference analysis has been included where possible to reflect the importance of using this measurement in conjunction with Body Mass Index (BMI) in order to identify those at increased risk of health problems associated with obesity.  \n More regional data is presented with a greater number of tables providing government office region and Strategic Health Authority breakdowns. Where possible information at a more local level has been reported on.","January 01, 2003 to December 31, 2007","http://content.digital.nhs.uk/searchcatalogue?productid=1056","January 31, 2008","1056","Official statistics","Public health"
"21","NHS Immunisation Statistics - England, 2004-05","The information in this bulletin about the childhood immunisation programme in England is derived from the COVER (Cover of Vaccination Evaluated Rapidly) data collection undertaken by the Health Protection Agency (HPA), Centre for Infections (CfI), and from the Department of Health return KC50.","April 01, 2004 to March 31, 2005","http://content.digital.nhs.uk/searchcatalogue?productid=1020","September 22, 2005","1020","Official statistics","Public health"
"22","Statistics on NHS Stop Smoking Services - England, April 2004 to March 2005, Q4, Quarterly report","This quarterly report presents provisional results from the monitoring of the NHS Stop Smoking Services (formerly known as the smoking cessation services).  \n Of those clients who set a quit date during the period April 2004 to March 2005, 297,828 had successfully quit at the 4 week follow up; this compares with 204,876 in the same period in 2004 (an increase of 45%). ","April 01, 2004 to March 31, 2005","http://content.digital.nhs.uk/searchcatalogue?productid=1134","July 26, 2005","1134","Official statistics","Public health"
"23","NHS Immunisation Statistics - England, 2005-06","The information in this bulletin, about immunisation statistics in England, comes from: \n \n The Health Protection Agency (HPA) Centre for Infections (CfI) for information on: Childhood immunisation uptake at ages 1, 2 and 5 collected through the Cover of Vaccination Evaluated Rapidly (COVER) data collection collected for PCTs, Persons aged 65 and over immunised against influenza for all PCTs  \n The Information Centre (IC) collects information about the BCG programme and reinforcing doses on the KC50 return from known providers of immunisation services.","April 01, 2005 to March 31, 2006","http://content.digital.nhs.uk/searchcatalogue?productid=1023","September 28, 2006","1023","Official statistics","Public health"
"24","Statistics on Obesity, Physical Activity and Diet - England, 2009","Note August 2011:  \n A number of errors have been identified in Table 7.5 - GHQ 12 score by body mass index (BMI) and gender, 2006 on page 164 of the Statistics on Obesity, Physical Activity and Diet: England, 2009 report. The errors also affect the corresponding table in the accompanying Excel workbook. The commentary in the pdf report is unaffected. Please see the errata note for further information and corrected figures. The NHS IC apologises for any inconvenience this may have caused.  \n Summary: \n This publication presents a range of information on obesity, physical activity and diet, drawn together from a variety of sources.  \n This publication also summarises government plans and targets in this area, as well as providing sources of further information and links to relevant documents and key sources.  \n This, our third report on obesity, physical activity and diet includes:  \n \n overweight and obesity prevalence among adults and children  \n physical activity levels among adults and children  \n trends in purchases and consumption of food and drink, and energy intake and health outcomes of being overweight or obese.  \n For the first time, the report provides information on attitudes towards and knowledge about leading a healthy lifestyle for both adults and children. This includes information on how much physical activity should be done, barriers towards doing more physical activity, knowledge of the recommended daily number of portions of fruit and vegetables and attitudes towards a healthy diet.","January 01, 2003 to December 31, 2007","http://content.digital.nhs.uk/searchcatalogue?productid=1060","February 25, 2009","1060","Official statistics","Public health"
"25","Statistics on NHS Stop Smoking Services - England, April 2005 to June 2005, Q1, Quarterly report","This quarterly report presents provisional results from the monitoring of the NHS Stop Smoking Services (formerly known as the smoking cessation services).","April 01, 2005 to June 30, 2005","http://content.digital.nhs.uk/searchcatalogue?productid=1136","October 26, 2005","1136","Official statistics","Public health"
"26","NHS Immunisation Statistics - England, 2006-07","The information in this bulletin, about immunisation statistics in England, comes from:  \n 1) The Health Protection Agency (HPA) Centre for Infections (CfI) for information on:  \n \n childhood immunisation uptake at ages 1, 2 and 5 collected through the Cover of Vaccination Evaluated Rapidly (COVER) data collection for PCTs  \n persons aged 65 and over immunised against influenza for all PCTs.  \n 2) The Information Centre (IC) for information about the BCG programme and reinforcing doses on the KC50 return from known providers of immunisation services. ","April 01, 2006 to March 31, 2007","http://content.digital.nhs.uk/searchcatalogue?productid=1026","September 28, 2007","1026","Official statistics","Public health"
"27","Statistics on NHS Stop Smoking Services - England, April 2004 to March 2005, Annual statistical bulletin","This statistical bulletin presents results from monitoring NHS stop smoking services in England during the year April 2004 to March 2005 (formerly known as the smoking cessation services).","April 01, 2004 to March 31, 2005","http://content.digital.nhs.uk/searchcatalogue?productid=1138","October 26, 2005","1138","Official statistics","Public health"
"28","NHS Immunisation Statistics - England, 2007-08","The information in this bulletin, about immunisation statistics in England, comes from:  \n 1. The Health Protection Agency  (HPA) Centre for Infections (CfI) for information on:  \n \n childhood immunisation uptake at ages 1, 2 and 5 collected through the Cover of Vaccination Evaluated Rapidly (COVER) data collection for PCTs  \n persons aged 65 and over immunised against influenza for all PCTs  \n 2. The NHS Information Centre (The NHS IC) for information about the BCG programme and reinforcing doses on the KC50 return from known providers of immunisation services.  \n March 2013:  Following investigation of KC50 data submitted by some Trusts from 2008-09 through to 2010-11, the HSCIC is recommending that Td/IPV and BCG data reported in tables 5, 6, 10 and 10a of this publication should be treated with some caution.  \n An error has also been identified in some coverage figures for children immunised by their 5th birthday in London for the period 2007-08. This affects published figures for London and England.  \n Please see Errata note above for more details.","April 01, 2007 to March 31, 2008","http://content.digital.nhs.uk/searchcatalogue?productid=1030","September 24, 2008","1030","Official statistics","Public health"
"29","Statistics on Obesity, Physical Activity and Diet - England, 2010","Summary \n This statistical report presents a range of information on obesity, physical activity and diet, drawn together from a variety of sources.  \n The topics covered include:  \n \n Overweight and obesity prevalence among adults and children;  \n Physical activity levels among adults and children;  \n Trends in purchases and consumption of food and drink and energy intake; and  \n Health outcomes of being overweight or obese.  \n This report contains seven chapters which consist of the following:  \n Chapter 1 :  \n Introduction; this summarises Government plans and targets in this area, as well as providing sources of further information and links to relevant documents.  \n Chapters 2 to 6:  \n Covering obesity, physical activity and diet which have been significantly reduced from last year&#39;s report in order to provide an overview of the key findings from these sources, whilst maintaining useful links to each section of the reports.  \n Chapter 7:  \n Health Outcomes; presents a range of information about the health outcomes of being obese or overweight which includes information on health risks, hospital admissions and prescription drugs used for treatment of obesity.  \n Figures presented in Chapter 7 have been obtained from a number of sources and presented in a user-friendly format. Most of the data contained in the chapter have been published previously by the National Audit Office or NHS Information Centre.  \n Previously unpublished figures on obesity-related Finished Hospital Episodes and Finished Consultant Episodes for 2008/09 are presented using data from The NHS Information Centre&#39;s Hospital Episode Statistics as well as data from the Prescribing Unit at the NHS Information Centre on prescription items dispensed for treatment of obesity. ","January 01, 2009 to January 01, 2010","http://content.digital.nhs.uk/searchcatalogue?productid=1064","February 10, 2010","1064","Official statistics","Public health"
"30","Statistics on Obesity, Physical Activity and Diet - England, 2011","&#160; \n Note, August 2011:  \n A number of errors have been identified in Table 7.5 - GHQ 12 score by body mass index (BMI) and gender, 2008 on page 62 of the Statistics on Obesity, Physical Activity and Diet: England, 2011 report. The errors also affect the corresponding table in the accompanying Excel workbook. The commentary in the pdf report is unaffected. Please see the errata note for further information and corrected figures. The NHS IC apologises for any inconvenience this may have caused.  \n Summary: \n This statistical report presents a range of information on obesity, physical activity and diet, drawn together from a variety of sources. The topics covered include:  \n \n overweight and obesity prevalence among adults and children  \n physical activity levels among adults and children  \n trends in purchases and consumption of food and drink and energy intake  \n health outcomes of being overweight or obese \n This report contains seven chapters:  \n Chapter 1: Introduction; this summarises Government plans and targets in this area, as well as providing sources of further information and links to relevant documents. Note, many of these were introduced by the previous government but were relevant at the time the data were collected.  \n Chapters 2 to 6 cover obesity, physical activity and diet providing an overview of the key findings from a number of sources of previously published information, whilst maintaining useful links to each section of the reports. Additional analysis has been undertaken of the Health Survey for England (HSE) to provide more detailed information previously unpublished.  \n Chapter 7: Health Outcomes; presents a range of information about the health outcomes of being obese or overweight which includes information on health risks, hospital admissions and prescription drugs used for treatment of obesity. Figures presented in Chapter 7 have been obtained from a number of sources and presented in a user-friendly format. Most of the data contained in the chapter have been published previously by the NHS Information Centre or the National Audit Office. Previously unpublished figures on obesity-related Finished Hospital Episodes and Finished Consultant Episodes for 2009/10 are presented using data from the NHS Information Centre&#39;s Hospital Episode Statistics as well as data from the Prescribing Unit at the NHS Information Centre on prescription items dispensed for treatment of obesity. ","January 01, 2010 to January 01, 2011","http://content.digital.nhs.uk/searchcatalogue?productid=1067","February 24, 2011","1067","Official statistics","Public health"
"31","Statistics on NHS Stop Smoking Services - England, April 2005 to September 2005, Q2, Quarterly report","This quarterly report presents provisional results from the monitoring of the NHS Stop Smoking Services (formerly known as the Smoking Cessation Services).  \n Of those clients who set a quit date during the period April 2005 to September 2005, 137,894 had successfully quit at the 4 week follow up; this compares with 112,250 in the same period in 2004 (an increase of 23%).","April 01, 2005 to September 30, 2005","http://content.digital.nhs.uk/searchcatalogue?productid=1141","February 13, 2006","1141","Official statistics","Public health"
"32","NHS Immunisation Statistics - England, 2008-09","The information in this bulletin, about immunisation statistics in England, comes from: \n \n The Health Protection Agency (HPA) Centre for Infections (CfI) for information on childhood immunisation uptake at ages 1, 2 and 5 collected through the Cover of Vaccination Evaluated Rapidly (COVER) data collection for PCTs  \n The NHS Information Centre (The NHS IC) for information about the BCG programme and reinforcing doses on the KC50 return from known providers of immunisation services.  \n The Department of Health for: \n \n the new HPV vaccination programme for teenage girls  \n persons aged 65 and over immunised against influenza for all PCTs (in conjunction with Health Protection Agency) \n Subsequent to  publishing this report on 3 September 2009, a number of changes were identified as being needed. These are detailed in the Errata note document above. \n March  2013:  Following investigation of KC50 data submitted by some Trusts from 2008-09 through to 2010-11, the HSCIC is recommending that Td/IPV and BCG data reported in tables 5, 6, 12 and 12a of this publication should be treated with some caution. See Errata note above for more information.","April 01, 2008 to March 31, 2009","http://content.digital.nhs.uk/searchcatalogue?productid=1034","September 03, 2009","1034","Official statistics","Public health"
"33","Statistics on NHS Stop Smoking Services - England, April 2005 to March 2006, Annual statistical bulletin","This statistical bulletin presents results from the NHS Stop Smoking Services in England during the year April 2005 to March 2006 (formerly known as the smoking cessation services). The key source used within this publication is data collected by The Information Centre for health and social care from the NHS Stop Smoking Services. Some information is also given on smoking prevalence and attitudes to smoking to help put these results into context. \n Press release","April 01, 2005 to March 31, 2006","http://content.digital.nhs.uk/searchcatalogue?productid=1143","September 28, 2006","1143","Official statistics","Public health"
"34","Statistics on NHS Stop Smoking Services - England, April 2005 to December 2005, Q3, Quarterly report","This quarterly report presents provisional results from the monitoring of the NHS Stop Smoking Services (formerly known as the Smoking Cessation Services). \n Of those clients who set a quit date during the period April 2005 to December 2005, 205,172 had successfully quit at the 4 week follow up; this compares with 174,371 in the same period in 2004 (an increase of 18 per cent).","April 01, 2005 to December 31, 2005","http://content.digital.nhs.uk/searchcatalogue?productid=1146","May 09, 2006","1146","Official statistics","Public health"
"35","Statistics on NHS Stop Smoking Services - England, April 2006 to June 2006, Q1, Quarterly report","This quarterly report presents provisional results from the monitoring of the NHS Stop Smoking Services (formerly known as the Smoking Cessation Services) for the period April to June 2006. \n The NHS Stop Smoking Services were set up in Health Action Zones in 1999/00 and rolled out across all Health Authorities in England in 2000/01. The services offer support to help people quit smoking. This can include intensive support through group therapy or one-to-one support. The support is designed to be widely accessible within the local community and is provided by trained personnel such as specialist smoking cessation advisers, trained nurses and pharmacists. The services complement the use of smoking cessation aids Nicotine Replacement Therapy (NRT) and bupropion (Zyban).","April 01, 2006 to June 30, 2006","http://content.digital.nhs.uk/searchcatalogue?productid=1148","October 24, 2006","1148","Official statistics","Public health"
"36","NHS Immunisation Statistics - England, 2009-10","The information in this bulletin, about immunisation statistics in England, comes from:  \n \n The Health Protection Agency (HPA) Centre for Infections (CfI) for information on childhood immunisation coverage at ages 1, 2 and 5 collected through the Cover of Vaccination Evaluated Rapidly (COVER) data collection for PCTs  \n The NHS Information Centre (The NHS IC) for information about the BCG programme and reinforcing doses on the KC50 return from known providers of immunisation services.  \n The Department of Health for information on persons aged 65 and over immunised against influenza for all PCTs (in conjunction with Health Protection Agency)  \n Subsequent to publishing this report on 30th November 2010 a number of changes were identified as being needed. These are detailed in the Errata note document above. \n March 2013:  Following investigation of KC50 data submitted by some Trusts from 2008-09 through to 2010-11, the HSCIC is recommending that Td/IPV and BCG data reported in tables 6, 7, 13 and 13a of this publication should be treated with some caution. See Errata note above for more information. \n Please note:  Issues with some newly implemented Child Health Information Systems (CHISs) over recent years have affected COVER data quality. Although some Primary Care Trusts (PCTs) reported data quality issues in 2009-10, overall fewer issues have been identified. Some caution should, however, be exercised when comparing coverage figures over time as apparent trends could reflect changes in the quality of data reported as well as real changes in vaccination coverage. While this issue will be more apparent at a local level, it will also have an impact on the national figures.","April 01, 2009 to March 31, 2010","http://content.digital.nhs.uk/searchcatalogue?productid=1038","November 30, 2010","1038","Official statistics","Public health"
