"PHEC_result_ID","PHEC_keywords_ID","keywords"
"7","4","Drinking"
"7","5","child health"
"7","6","adult health"
"7","7","Hospital admissions"
"7","8","Alcohol abuse"
"7","9","hazardous drinking"
"7","10","binge drinking"
"7","11","cost of alcohol"
"7","12","attitudes to alcohol"
"7","13","affordability of alcohol"
"7","14","alcohol attributable"
"7","15","alcohol consumption"
"7","16","drinking behaviour"
"7","17","drinking in children"
"7","18","harmful drinking"
"7","19","prescriptions for alcohol dependency"
"7","20","types of alcohol"
"7","21","units"
"7","22","alcohol-related deaths"
"7","23","alcohol-related hospital admissions"
"8","1","Sexual health services"
"8","2","Contraceptives"
"8","3","Family planning"
"8","4","KT31"
"8","5","contraceptive pill"
"8","6","LARCs"
"8","7","intra-uterine devices"
"8","8","IUD"
"8","9","intra-uterine system"
"8","10","IUS"
"8","11","Injectibles"
"8","12","implants"
"8","13","Emergency hormonal contraception"
"8","14","EHC"
"8","15","vasectomy"
"8","16","condom"
"8","17","sterilisation"
"8","18","Long-acting reversable contraceptives"
"8","19","Birth control advice"
"8","20","Birth control information"
"8","21","Contraception information"
"8","22","Information on birth control"
"8","23","Information on contraception"
"8","24","Contraception awareness"
"9","1","Alcohol misuse"
"9","2","Drink"
"9","3","Mortality"
"9","4","Alcohol"
"9","5","Alcohol dependency"
"9","6","Drinking"
"9","7","Prevalence"
"9","8","child health"
"9","9","adult health"
"9","10","Hospital admissions"
"9","11","Alcohol abuse"
"9","12","hazardous drinking"
"9","13","binge drinking"
"9","14","cost of alcohol"
"9","15","attitudes to alcohol"
"9","16","affordability of alcohol"
"9","17","alcohol attributable"
"9","18","alcohol consumption"
"9","19","drinking behaviour"
"9","20","drinking in children"
"9","21","harmful drinking"
"9","22","prescriptions for alcohol dependency"
"9","23","types of alcohol"
"9","24","units"
"9","25","alcohol-related deaths"
"9","26","alcohol-related hospital admissions"
"10","1","Drug use"
"10","2","Prevalence"
"10","3","Drugs"
"10","4","adults"
"10","5","Drug treatment"
"10","6","Hospital admissions"
"10","7","children"
"10","8","misuse"
"10","9","drug-related"
"10","10","Drug misuse"
"10","11","substance misuse"
"11","1","Sexual health services"
"11","2","Contraceptives"
"11","3","Family planning"
"11","4","KT31"
"11","5","contraceptive pill"
"11","6","Contraception"
"11","7","LARCs"
"11","8","intra-uterine devices"
"11","9","IUD"
"11","10","intra-uterine system"
"11","11","IUS"
"11","12","Injectibles"
"11","13","implants"
"11","14","Emergency hormonal contraception"
"11","15","EHC"
"11","16","vasectomy"
"11","17","condom"
"11","18","sterilisation"
"11","19","Long-acting reversable contraceptives"
"11","20","Birth control advice"
"11","21","Birth control information"
"11","22","Contraception information"
"11","23","Information on birth control"
"11","24","Information on contraception"
"12","1","Drink"
"12","2","Alcohol"
"12","3","Alcohol dependency"
"12","4","Drinking"
"12","5","child health"
"12","6","adult health"
"12","7","Hospital admissions"
"12","8","Alcohol abuse"
"12","9","hazardous drinking"
"12","10","binge drinking"
"12","11","cost of alcohol"
"12","12","attitudes to alcohol"
"12","13","affordability of alcohol"
"12","14","alcohol attributable"
"12","15","alcohol consumption"
"12","16","drinking behaviour"
"12","17","drinking in children"
"12","18","harmful drinking"
"12","19","prescriptions for alcohol dependency"
"12","20","types of alcohol"
"12","21","units"
"12","22","alcohol-related deaths"
"12","23","alcohol-related hospital admissions"
"13","1","Drink"
"13","2","Alcohol"
"13","3","Alcohol dependency"
"13","4","Drinking"
"13","5","Prevalence"
"13","6","child health"
"13","7","adult health"
"13","8","Hospital admissions"
"13","9","Alcohol abuse"
"13","10","hazardous drinking"
"13","11","binge drinking"
"13","12","cost of alcohol"
"13","13","attitudes to alcohol"
"13","14","affordability of alcohol"
"13","15","alcohol attributable"
"13","16","alcohol consumption"
"13","17","drinking behaviour"
"13","18","drinking in children"
"13","19","harmful drinking"
"13","20","prescriptions for alcohol dependency"
"13","21","types of alcohol"
"13","22","units"
"13","23","alcohol-related deaths"
"13","24","alcohol-related hospital admissions"
"14","1","Drug use"
"14","2","Prevalence"
"14","3","Drugs"
"14","4","adults"
"14","5","Drug treatment"
"14","6","Hospital admissions"
"14","7","children"
"14","8","misuse"
"14","9","drug-related"
"14","10","Drug misuse"
"14","11","substance misuse"
"15","1","Sexual health services"
"15","2","Contraceptives"
"15","3","Family planning"
"15","4","KT31"
"15","5","contraceptive pill"
"15","6","LARCs"
"15","7","intra-uterine devices"
"15","8","IUD"
"15","9","intra-uterine system"
"15","10","IUS"
"15","11","Injectibles"
"15","12","implants"
"15","13","Emergency hormonal contraception"
"15","14","EHC"
"15","15","vasectomy"
"15","16","condom"
"15","17","sterilisation"
"15","18","Long-acting reversable contraceptives"
"16","1","Sexual health services"
"16","2","Contraceptives"
"16","3","Family planning"
"16","4","KT31"
"16","5","contraceptive pill"
"16","6","LARCs"
"16","7","intra-uterine devices"
"16","8","IUD"
"16","9","intra-uterine system"
"16","10","IUS"
"16","11","Injectibles"
"16","12","implants"
"16","13","Emergency hormonal contraception"
"16","14","EHC"
"16","15","vasectomy"
"16","16","SRHAD"
"16","17","condom"
"16","18","sterilisation"
"16","19","Sexual and Reproductive Health Activity Dataset"
"16","20","Long-acting reversable contraceptives"
"16","21","Advice on birth control"
"16","22","Advice on contraception"
"16","23","Birth control advice"
"16","24","Birth control information"
"16","25","Contraception information"
"16","26","Contraception awareness"
"17","1","Drug use"
"17","2","Prevalence"
"17","3","Drugs"
"17","4","adults"
"17","5","Drug treatment"
"17","6","Hospital admissions"
"17","7","children"
"17","8","misuse"
"17","9","drug-related"
"17","10","Drug misuse"
"17","11","substance misuse"
"18","1","Food"
"18","2","Nutrition"
"18","3","Obesity"
"18","4","Body mass index"
"18","5","Weight"
"18","6","Weight management"
"18","7","Bariatric surgery"
"18","8","5 a day"
"18","9","Diet"
"18","10","Fruit and vegetables"
"18","11","Exercise"
"18","12","Sport"
"18","13","Waist circumference"
"19","1","Smoking cessation"
"19","2","Smoking cessation services"
"19","3","Nicotine replacement therapy"
"19","4","Varenicline"
"19","5","Champix"
"19","6","Zyban"
"19","7","NHS Stop Smoking Services"
"19","8","NRT"
"19","9","Statistics on NHS Stop Smoking Services"
"19","10","stop smoking statistics"
"19","11","Buprprion"
"19","12","quitters"
"19","13","successful quitters"
"19","14","CO monitoring"
"19","15","CO validation"
"19","16","carbon monoxide"
"19","17","stop smoking collection"
"19","18","smoking during pregnancy"
"19","19","stop smoking expenditure"
"19","20","stop smoking treatments"
"19","21","4 week follow-up"
"19","22","stop smoking"
"20","1","Nutrition"
"20","2","Obesity"
"20","3","Weight"
"20","4","Weight management"
"20","5","Bariatric surgery"
"20","6","BMI"
"20","7","5 a day"
"20","8","Diet"
"20","9","Fruit and vegetables"
"20","10","Exercise"
"20","11","Sport"
"20","12","food pipe"
"20","13","Waist circumference"
"21","1","Communicable diseases"
"21","2","Vaccination"
"21","3","child health"
"21","4","Childhood immunisations"
"21","5","Vaccinations"
"21","6","Influenza"
"21","7","Diphtheria"
"21","8","Tetanus"
"21","9","Pertussis"
"21","10","Polio"
"21","11","MenC"
"21","12","Measles"
"21","13","Mumps"
"21","14","Rubella"
"21","15","MMR"
"21","16","DTaP"
"21","17","Tuberculosis"
"21","18","BCG vaccine"
"21","19","Meningococcal group C"
"21","20","IPV"
"21","21","dtap/IPV/Hib"
"21","22","Dtap/IPV"
"21","23","Td/IPV"
"21","24","Hib"
"21","25","booster"
"21","26","Haemophilus influenza"
"21","27","Whooping cough"
"21","28","Bacillus Calmette-Guerin"
"21","29","Immunisations"
"21","30","meningitis C"
"21","31","TB"
"21","32","Tuberculin"
"21","33","Flu"
"22","1","Smoking cessation"
"22","2","Smoking cessation services"
"22","3","Nicotine replacement therapy"
"22","4","Varenicline"
"22","5","Champix"
"22","6","Zyban"
"22","7","NHS Stop Smoking Services"
"22","8","NRT"
"22","9","Statistics on NHS Stop Smoking Services"
"22","10","stop smoking statistics"
"22","11","Buprprion"
"22","12","quitters"
"22","13","successful quitters"
"22","14","CO monitoring"
"22","15","CO validation"
"22","16","carbon monoxide"
"22","17","stop smoking collection"
"22","18","smoking during pregnancy"
"22","19","stop smoking expenditure"
"22","20","stop smoking treatments"
"22","21","4 week follow-up"
"22","22","stop smoking"
"23","1","Communicable diseases"
"23","2","Vaccination"
"23","3","child health"
"23","4","Childhood immunisations"
"23","5","Diphtheria"
"23","6","Tetanus"
"23","7","Pertussis"
"23","8","Polio"
"23","9","MenC"
"23","10","Measles"
"23","11","Mumps"
"23","12","Rubella"
"23","13","MMR"
"23","14","DTaP"
"23","15","Tuberculosis"
"23","16","BCG vaccine"
"23","17","Meningococcal group C"
"23","18","IPV"
"23","19","dtap/IPV/Hib"
"23","20","Dtap/IPV"
"23","21","Td/IPV"
"23","22","Hib"
"23","23","booster"
"23","24","Haemophilus influenza"
"23","25","Whooping cough"
"23","26","Bacillus Calmette-Guerin"
"23","27","Immunisations"
"23","28","meningitis C"
"23","29","TB"
"23","30","Tuberculin"
"23","31","Flu"
"24","1","Food"
"24","2","Nutrition"
"24","3","Obesity"
"24","4","Drink"
"24","5","Healthy eating"
"24","6","Body mass index"
"24","7","Weight"
"24","8","Bariatric surgery"
"24","9","BMI"
"24","10","Overweight"
"24","11","5 a day"
"24","12","Healthy weight"
"24","13","Diet"
"24","14","Exercise"
"24","15","Sport"
"24","16","Fruit and vegtables."
"24","17","Lifestyle behaviours"
"24","18","Waist circumfrence"
"25","1","Smoking cessation"
"25","2","Smoking cessation services"
"25","3","Nicotine replacement therapy"
"25","4","Varenicline"
"25","5","Champix"
"25","6","Zyban"
"25","7","NHS Stop Smoking Services"
"25","8","NRT"
"25","9","Statistics on NHS Stop Smoking Services"
"25","10","stop smoking statistics"
"25","11","Buprprion"
"25","12","quitters"
"25","13","successful quitters"
"25","14","CO monitoring"
"25","15","CO validation"
"25","16","carbon monoxide"
"25","17","stop smoking collection"
"25","18","smoking during pregnancy"
"25","19","stop smoking expenditure"
"25","20","stop smoking treatments"
"25","21","4 week follow-up"
"25","22","stop smoking"
"26","1","Communicable diseases"
"26","2","Vaccination"
"26","3","child health"
"26","4","Childhood immunisations"
"26","5","Diphtheria"
"26","6","Tetanus"
"26","7","Pertussis"
"26","8","Polio"
"26","9","MenC"
"26","10","Measles"
"26","11","Mumps"
"26","12","Rubella"
"26","13","MMR"
"26","14","DTaP"
"26","15","Tuberculosis"
"26","16","Meningococcal group C"
"26","17","IPV"
"26","18","dtap/IPV/Hib"
"26","19","Dtap/IPV"
"26","20","Td/IPV"
"26","21","Hib"
"26","22","booster"
"26","23","Haemophilus influenza"
"26","24","Whooping cough"
"26","25","Bacillus Calmette-Guerin"
"26","26","Immunisations"
"26","27","meningitis C"
"26","28","Tuberculin"
"26","29","Flu"
"27","1","Smoking cessation"
"27","2","Smoking cessation services"
"27","3","Varenicline"
"27","4","Champix"
"27","5","Zyban"
"27","6","NHS Stop Smoking Services"
"27","7","NRT"
"27","8","Statistics on NHS Stop Smoking Services"
"27","9","stop smoking statistics"
"27","10","Nictotine Replacement Therapy"
"27","11","Buprprion"
"27","12","quitters"
"27","13","successful quitters"
"27","14","CO monitoring"
"27","15","CO validation"
"27","16","carbon monoxide"
"27","17","stop smoking collection"
"27","18","smoking during pregnancy"
"27","19","stop smoking expenditure"
"27","20","stop smoking treatments"
"27","21","4 week follow-up"
"27","22","stop smoking"
"28","1","Communicable diseases"
"28","2","Vaccination"
"28","3","child health"
"28","4","Childhood immunisations"
"28","5","Influenza"
"28","6","Diphtheria"
"28","7","Tetanus"
"28","8","Pertussis"
"28","9","Polio"
"28","10","MenC"
"28","11","Measles"
"28","12","Mumps"
"28","13","Rubella"
"28","14","MMR"
"28","15","DTaP"
"28","16","Tuberculosis"
"28","17","PCV"
"28","18","IPV"
"28","19","dtap/IPV/Hib"
"28","20","Dtap/IPV"
"28","21","Td/IPV"
"28","22","Hib"
"28","23","booster"
"28","24","Haemophilus influenza"
"28","25","Whooping cough"
"28","26","Bacillus Calmette-Guerin"
"28","27","Immunisations"
"28","28","meningitis C"
"28","29","Tuberculin"
"28","30","Hepatitis B"
"28","31","Mantoux"
"28","32","Pneumococcal"
"28","33","Flu"
"29","1","Nutrition"
"29","2","Obesity"
"29","3","Body mass index"
"29","4","Weight"
"29","5","Weight management"
"29","6","Bariatric surgery"
"29","7","BMI"
"29","8","5 a day"
"29","9","Diet"
"29","10","Fruit and vegetables"
"29","11","Exercise"
"30","1","Nutrition"
"30","2","Obesity"
"30","3","Body mass index"
"30","4","Weight"
"30","5","Weight management"
"30","6","Bariatric surgery"
"30","7","BMI"
"30","8","5 a day"
"30","9","Diet"
"30","10","Fruit and vegetables"
"30","11","Exercise"
"30","12","Sport"
"31","1","Smoking cessation"
"31","2","Smoking cessation services"
"31","3","Nicotine replacement therapy"
"31","4","Varenicline"
"31","5","Champix"
"31","6","Zyban"
"31","7","NHS Stop Smoking Services"
"31","8","NRT"
"31","9","Statistics on NHS Stop Smoking Services"
"31","10","stop smoking statistics"
"31","11","Buprprion"
"31","12","quitters"
"31","13","successful quitters"
"31","14","CO monitoring"
"31","15","CO validation"
"31","16","carbon monoxide"
"31","17","stop smoking collection"
"31","18","smoking during pregnancy"
"31","19","stop smoking expenditure"
"31","20","stop smoking treatments"
"31","21","4 week follow-up"
"31","22","stop smoking"
"32","1","Communicable diseases"
"32","2","Vaccination"
"32","3","child health"
"32","4","Childhood immunisations"
"32","5","Diphtheria"
"32","6","Tetanus"
"32","7","Pertussis"
"32","8","Polio"
"32","9","MenC"
"32","10","Measles"
"32","11","Mumps"
"32","12","Rubella"
"32","13","MMR"
"32","14","DTaP"
"32","15","Tuberculosis"
"32","16","BCG vaccine"
"32","17","PCV"
"32","18","Meningococcal group C"
"32","19","IPV"
"32","20","dtap/IPV/Hib"
"32","21","Dtap/IPV"
"32","22","Td/IPV"
"32","23","Hib"
"32","24","Haemophilus influenza"
"32","25","Pneumococcal meningitis"
"32","26","Whooping cough"
"32","27","Bacillus Calmette-Guerin"
"32","28","Immunisations"
"32","29","meningitis C"
"32","30","Tuberculin"
"32","31","Hepatitis B"
"32","32","Mantoux"
"32","33","HPV"
"32","34","Human Papillomavirus"
"32","35","Flu"
"33","1","Smoking cessation"
"33","2","Smoking cessation services"
"33","3","Nicotine replacement therapy"
"33","4","Varenicline"
"33","5","Champix"
"33","6","Zyban"
"33","7","NHS Stop Smoking Services"
"33","8","NRT"
"33","9","Statistics on NHS Stop Smoking Services"
"33","10","stop smoking statistics"
"33","11","Buprprion"
"33","12","quitters"
"33","13","successful quitters"
"33","14","CO monitoring"
"33","15","CO validation"
"33","16","carbon monoxide"
"33","17","stop smoking collection"
"33","18","smoking during pregnancy"
"33","19","stop smoking expenditure"
"33","20","stop smoking treatments"
"33","21","4 week follow-up"
"33","22","stop smoking"
"34","1","Smoking cessation"
"34","2","Stop-smoking services"
"34","3","Smoking cessation services"
"34","4","Stop-smoking medication"
"34","5","Nicotine addiction"
"34","6","Nicotine replacement therapy"
"34","7","Varenicline"
"34","8","Champix"
"34","9","Bupropion"
"34","10","Zyban"
"34","11","NHS Stop Smoking Services"
"34","12","NRT"
"34","13","quitters"
"34","14","successful quitters"
"34","15","CO monitoring"
"34","16","CO validation"
"34","17","carbon monoxide"
"34","18","smoking during pregnancy"
"34","19","4 week follow-up"
"34","20","Stop-smoking collection"
"34","21","Stop-smoking expenditure"
"34","22","Stop-smoking treatments"
"35","1","Smoking cessation"
"35","2","Smoking cessation services"
"35","3","Nicotine replacement therapy"
"35","4","Varenicline"
"35","5","Champix"
"35","6","Zyban"
"35","7","NHS Stop Smoking Services"
"35","8","NRT"
"35","9","Statistics on NHS Stop Smoking Services"
"35","10","stop smoking statistics"
"35","11","Buprprion"
"35","12","quitters"
"35","13","successful quitters"
"35","14","CO monitoring"
"35","15","CO validation"
"35","16","carbon monoxide"
"35","17","stop smoking collection"
"35","18","smoking during pregnancy"
"35","19","stop smoking expenditure"
"35","20","stop smoking treatments"
"35","21","4 week follow-up"
"35","22","stop smoking"
"36","1","Communicable diseases"
"36","2","Vaccination"
"36","3","child health"
"36","4","Childhood immunisations"
"36","5","Diphtheria"
"36","6","Tetanus"
"36","7","Pertussis"
"36","8","Polio"
"36","9","MenC"
"36","10","Measles"
"36","11","Mumps"
"36","12","Rubella"
"36","13","MMR"
"36","14","DTaP"
"36","15","Tuberculosis"
"36","16","BCG vaccine"
"36","17","PCV"
"36","18","Meningococcal group C"
"36","19","IPV"
"36","20","dtap/IPV/Hib"
"36","21","Dtap/IPV"
"36","22","Td/IPV"
"36","23","Hib"
"36","24","booster"
"36","25","Haemophilus influenza"
"36","26","Pneumococcal meningitis"
"36","27","Whooping cough"
"36","28","Bacillus Calmette-Guerin"
"36","29","Immunisations"
"36","30","meningitis C"
"36","31","Tuberculin"
"36","32","Hepatitis B"
"36","33","Mantoux"
"36","34","HPV"
"36","35","Human Papillomavirus"
"36","36","Flu"
"37","1","Smoking cessation"
"37","2","Smoking cessation services"
"37","3","Nicotine replacement therapy"
"37","4","Varenicline"
"37","5","Champix"
"37","6","Zyban"
"37","7","NHS Stop Smoking Services"
"37","8","NRT"
"37","9","Statistics on NHS Stop Smoking Services"
"37","10","stop smoking statistics"
"37","11","Buprprion"
"37","12","quitters"
"37","13","successful quitters"
"37","14","CO monitoring"
"37","15","CO validation"
"37","16","carbon monoxide"
"37","17","stop smoking collection"
"37","18","smoking during pregnancy"
"37","19","stop smoking expenditure"
"37","20","stop smoking treatments"
"37","21","4 week follow-up"
"37","22","stop smoking"
"38","1","Smoking cessation"
"38","2","Smoking cessation services"
"38","3","Nicotine replacement therapy"
"38","4","Varenicline"
"38","5","Champix"
"38","6","Zyban"
"38","7","NHS Stop Smoking Services"
"38","8","NRT"
"38","9","Statistics on NHS Stop Smoking Services"
"38","10","stop smoking statistics"
"38","11","Buprprion"
"38","12","quitters"
"38","13","successful quitters"
"38","14","CO monitoring"
"38","15","CO validation"
"38","16","carbon monoxide"
"38","17","stop smoking collection"
"38","18","smoking during pregnancy"
"38","19","stop smoking expenditure"
"38","20","stop smoking treatments"
"38","21","4 week follow-up"
"38","22","stop smoking"
"39","1","Smoking cessation"
"39","2","Smoking cessation services"
"39","3","Nicotine replacement therapy"
"39","4","Varenicline"
"39","5","Champix"
"39","6","Zyban"
"39","7","NHS Stop Smoking Services"
"39","8","NRT"
"39","9","Statistics on NHS Stop Smoking Services"
"39","10","stop smoking statistics"
"39","11","Buprprion"
"39","12","quitters"
"39","13","successful quitters"
"39","14","CO monitoring"
"39","15","CO validation"
"39","16","carbon monoxide"
"39","17","stop smoking collection"
"39","18","smoking during pregnancy"
"39","19","stop smoking expenditure"
"39","20","stop smoking treatments"
"39","21","4 week follow-up"
"39","22","stop smoking"
"40","1","Communicable diseases"
"40","2","Vaccination"
"40","3","child health"
"40","4","Childhood immunisations"
"40","5","Diphtheria"
"40","6","Tetanus"
"40","7","Pertussis"
"40","8","Polio"
"40","9","MenC"
"40","10","Measles"
"40","11","Mumps"
"40","12","Rubella"
"40","13","MMR"
"40","14","DTaP"
"40","15","Tuberculosis"
"40","16","BCG vaccine"
"40","17","PCV"
"40","18","Meningococcal group C"
"40","19","IPV"
"40","20","dtap/IPV/Hib"
"40","21","Dtap/IPV"
"40","22","Td/IPV"
"40","23","Hib"
"40","24","booster"
"40","25","Haemophilus influenza"
"40","26","Pneumococcal meningitis"
"40","27","Whooping cough"
"40","28","Bacillus Calmette-Guerin"
"40","29","Immunisations"
"40","30","meningitis C"
"40","31","Tuberculin"
"40","32","Hepatitis B"
"40","33","Mantoux"
"40","34","HPV"
"40","35","Human Papillomavirus"
"40","36","Flu"
"41","1","Smoking cessation"
"41","2","Smoking cessation services"
"41","3","Nicotine replacement therapy"
"41","4","Varenicline"
"41","5","Champix"
"41","6","Zyban"
"41","7","NHS Stop Smoking Services"
"41","8","NRT"
"41","9","Statistics on NHS Stop Smoking Services"
"41","10","stop smoking statistics"
"41","11","Buprprion"
"41","12","quitters"
"41","13","successful quitters"
"41","14","CO monitoring"
"41","15","CO validation"
"41","16","carbon monoxide"
"41","17","stop smoking collection"
"41","18","smoking during pregnancy"
"41","19","stop smoking expenditure"
"41","20","stop smoking treatments"
"41","21","4 week follow-up"
"41","22","stop smoking"
"42","1","Smoking cessation"
"42","2","Smoking cessation services"
"42","3","Nicotine replacement therapy"
"42","4","Varenicline"
"42","5","Champix"
"42","6","Zyban"
"42","7","NHS Stop Smoking Services"
"42","8","NRT"
"42","9","Statistics on NHS Stop Smoking Services"
"42","10","stop smoking statistics"
"42","11","Buprprion"
"42","12","quitters"
"42","13","successful quitters"
"42","14","CO monitoring"
"42","15","CO validation"
"42","16","carbon monoxide"
"42","17","stop smoking collection"
"42","18","smoking during pregnancy"
"42","19","stop smoking expenditure"
"42","20","stop smoking treatments"
"42","21","4 week follow-up"
"42","22","stop smoking"
"43","1","Smoking cessation"
"43","2","Stop-smoking services"
"43","3","Smoking cessation services"
"43","4","Stop-smoking medication"
"43","5","Nicotine addiction"
"43","6","Nicotine replacement therapy"
"43","7","Varenicline"
"43","8","Champix"
"43","9","Bupropion"
"43","10","Zyban"
"43","11","NHS Stop Smoking Services"
"43","12","NRT"
"43","13","quitters"
"43","14","successful quitters"
"43","15","CO monitoring"
"43","16","CO validation"
"43","17","carbon monoxide"
"43","18","smoking during pregnancy"
"43","19","4 week follow-up"
"43","20","Stop-smoking collection"
"43","21","Stop-smoking expenditure"
"43","22","Stop-smoking treatments"
"44","1","Smoking cessation"
"44","2","Smoking cessation services"
"44","3","Nicotine replacement therapy"
"44","4","Varenicline"
"44","5","Champix"
"44","6","Zyban"
"44","7","NHS Stop Smoking Services"
"44","8","NRT"
"44","9","Statistics on NHS Stop Smoking Services"
"44","10","stop smoking statistics"
"44","11","Buprprion"
"44","12","quitters"
"44","13","successful quitters"
"44","14","CO monitoring"
"44","15","CO validation"
"44","16","carbon monoxide"
"44","17","stop smoking collection"
"44","18","smoking during pregnancy"
"44","19","stop smoking expenditure"
"44","20","stop smoking treatments"
"44","21","4 week follow-up"
"44","22","stop smoking"
"45","1","Smoking cessation"
"45","2","Smoking cessation services"
"45","3","Nicotine replacement therapy"
"45","4","Varenicline"
"45","5","Champix"
"45","6","Zyban"
"45","7","NHS Stop Smoking Services"
"45","8","NRT"
"45","9","Statistics on NHS Stop Smoking Services"
"45","10","stop smoking statistics"
"45","11","Buprprion"
"45","12","quitters"
"45","13","successful quitters"
"45","14","CO monitoring"
"45","15","CO validation"
"45","16","carbon monoxide"
"45","17","stop smoking collection"
"45","18","smoking during pregnancy"
"45","19","stop smoking expenditure"
"45","20","stop smoking treatments"
"45","21","4 week follow-up"
"45","22","stop smoking"
"46","1","Smoking"
"46","2","Alcohol"
"46","3","Drinking"
"46","4","Drugs"
"46","5","Young people"
"46","6","Secondary school"
"46","7","Drug abuse"
"46","8","Drug misuse"
"47","1","This document contains statistics on stop smoking services - England"
"47","2","April 2008 to June 2008"
"47","3","Q1"
"47","4","Quarterly report: Pre-release access list"
"48","1","Psychiatry"
"48","2","Mental illness"
"48","3","Schizophrenia"
"48","4","Bipolar disorder"
"48","5","Depression"
"48","6","Stress"
"48","7","Mental Health Knowledge Schedule"
"48","8","Mental health services"
"48","9","Mental health"
"48","10","Manic depression"
"48","11","Drug addiction"
"48","12","Psychiatric"
"48","13","split personality"
"48","14","stigma"
"48","15","Grief"
"48","16","MAKS"
"48","17","Reported and intended behaviour scale"
"48","18","RIBS"
"48","19","exclusion"
"48","20","tolerance"
"48","21","integration"
"48","22","mental hospital"
"49","1","Smoking"
"49","2","Alcohol"
"49","3","Drinking"
"49","4","Drugs"
"49","5","Young people"
"49","6","Secondary school"
"49","7","Drug abuse"
"49","8","Drug misuse"
"50","1","Smoking cessation"
"50","2","Stop-smoking services"
"50","3","Smoking cessation services"
"50","4","Stop-smoking medication"
"50","5","Nicotine addiction"
"50","6","Nicotine replacement therapy"
"50","7","Varenicline"
"50","8","Champix"
"50","9","Bupropion"
"50","10","Zyban"
"50","11","NHS Stop Smoking Services"
"50","12","NRT"
"50","13","quitters"
"50","14","successful quitters"
"50","15","CO monitoring"
"50","16","CO validation"
"50","17","carbon monoxide"
"50","18","stop smoking collection"
"50","19","smoking during pregnancy"
"50","20","stop smoking expenditure"
"50","21","stop smoking treatments"
"50","22","4 week follow-up"
"51","1","Smoking"
"51","2","Alcohol"
"51","3","Drinking"
"51","4","Drugs"
"51","5","Young people"
"51","6","Secondary school"
"51","7","Drug abuse"
"51","8","Drug misuse"
"52","1","Guardianship"
"52","2","Mental illness"
"52","3","Section 7"
"52","4","Section 37"
"52","5","SSDA 702"
"52","6","Mental health"
"52","7","1983 Mental Health Act"
"52","8","2005 Mental Health Act"
"53","1","Smoking cessation"
"53","2","Stop-smoking services"
"53","3","Smoking cessation services"
"53","4","Stop-smoking medication"
"53","5","Nicotine addiction"
"53","6","Nicotine replacement therapy"
"53","7","Varenicline"
"53","8","Champix"
